path,file_name,category,role,allocation,salvage_value,in_scope,scan_status,run_status,root_cause
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/95 首席质量因子-Gross Profitabilit（简化版）.txt,95 首席质量因子-Gross Profitabilit（简化版）.txt,C_多因子_机器学习_AI,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/96 【复现】高频价量相关性，意想不到的选股因子.txt,96 【复现】高频价量相关性，意想不到的选股因子.txt,Y_研报深度解析复现,R_研究素材_复现与因子,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/96 集合竞价量比策略V1.txt,96 集合竞价量比策略V1.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/96 首版+2版龙虎榜挖掘V2.0，年化1400.txt,96 首版+2版龙虎榜挖掘V2.0，年化1400.txt,J_量化择时_指标_复现,A_辅助模块_择时或选股器,,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/97 稳定高回报周期股策略2-RSRS择时.txt,97 稳定高回报周期股策略2-RSRS择时.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/97 趋势筛选后相关性最小etf轮动-加速10倍版.txt,97 趋势筛选后相关性最小etf轮动-加速10倍版.txt,B_ETF_轮动_RSRS,M_主策略_可独立alpha,01_底仓位_跨周期稳,B_次选_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/98 【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,98 【漂亮50】“漂亮50”策略复现以及股息率排序函数.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/98 追涨大师（超额142）.txt,98 追涨大师（超额142）.txt,T_动量趋势海龟强者恒强,M_主策略_可独立alpha,02_卫星位_主动alpha,B_可改造,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/99 欧奈尔CANSLIM策略初探三.txt,99 欧奈尔CANSLIM策略初探三.txt,E_高股息_价值_红利_低波,M_主策略_可独立alpha,01_底仓位_跨周期稳,A_首选,True,valid,executable,OK
/Users/fengzhi/Downloads/git/testlixingren/jk2bt-main/strategies/99最新龙回头5.0速度优化版+风险控制版本.txt,99最新龙回头5.0速度优化版+风险控制版本.txt,D_打板_龙头_涨停_首板_短线,M_主策略_可独立alpha,03_进攻位_短线题材,B_次选_可改造,True,valid,executable,OK
